fid,dc
22682,55
22683,55
22684,55
22685,55
23045,5159
23046,5159
23047,5159
23049,7618
23050,12
23051,12
23052,12
23053,12
23054,12
23055,12
23056,12
23057,12
23058,12
23059,12
23060,12
23061,12
23062,12
23063,12
23064,12
23065,12
23066,12
23067,12
23068,12
23069,12
23070,12
23071,12
23072,5159
23073,12
23074,12
23075,12
23076,5159
23077,5160
23078,5178
23080,2380
23082,2382
23093,7
23145,1
23146,1
23147,1
23148,1
23149,1
23150,1
23157,1
23158,1
23159,1
23165,169
23357,656
23358,656
23359,656
23360,656
23361,656
23362,656
23363,656
23364,656
23650,2301
23652,1
23653,1
23654,1
23655,1
23704,2310
23705,2310
23717,2310
23721,2310
23734,2310
23735,2310
23736,2310
23737,2310
23738,2310
23742,2310
23743,2310
23744,2310
23745,2310
23746,2310
23747,2310
23748,2310
23749,2310
23750,2310
23751,2310
23752,2310
23753,2310
23754,2310
23755,2310
23756,2310
23757,2310
23758,2310
23759,2310
23760,2310
23761,2310
23762,2310
23763,2310
23764,2310
23766,2310
23767,2310
23768,2310
23769,2310
23770,2310
23772,2310
23773,2310
23774,2310
23775,2310
23776,2310
23778,2310
23782,2310
23783,2310
23784,2310
23785,2310
23786,2310
23787,2310
23789,2310
23790,2310
23791,2310
23792,2310
23793,2310
23794,2310
23796,2310
23797,2310
23798,2310
23799,2310
23800,2310
23801,2310
23804,2310
23805,2310
23806,2310
23807,2310
23808,2310
23813,2310
23814,2310
23833,2310
23834,2310
23835,2310
23840,2310
23841,2310
23842,2310
23843,2310
23847,2310
23848,2310
23849,2310
23850,2310
23852,2310
23853,2310
23854,2310
23855,2310
23856,2310
23857,2310
23860,2310
23861,2310
23862,2310
23863,2310
23864,2310
23867,2310
23868,2310
23869,2310
23870,2310
23871,2310
23876,2310
23878,2310
23879,2310
23880,2310
23881,2310
23882,2310
23883,2310
23884,2310
23885,2310
23886,2310
23887,2310
23888,2310
23889,2310
23890,2310
23891,2310
23892,2310
23893,2310
23894,2310
23895,2310
23896,2310
23897,2310
23898,2310
23901,2310
23902,2310
23915,2310
23916,2310
23917,2310
23920,2310
23921,2310
23922,2310
23923,2310
23925,2310
23926,2310
23927,2310
23928,2310
23929,2310
23930,2310
23931,2310
23932,2310
23933,2310
23934,2310
23935,2310
23936,2310
23937,2310
23938,2310
23939,2310
23940,2310
23941,2310
23942,2310
23943,2310
23946,2310
23948,2310
24014,7
24418,7
24637,12
24659,12
24660,12
25780,778
25921,12
26200,1
26500,7
27980,783
27981,603
27983,7
27985,7
27990,1854
28000,1854
28010,9564
28011,7
28012,7
28013,7
28014,7
28015,7
28016,7
28017,7
28018,7
28019,7
28020,7
28021,7
28022,7
28023,7
28024,7
28025,7
28026,7
28027,7
28028,7
28029,7
28034,1220
28035,1221
28036,100352
28037,1222
28038,1222
28039,1222
28040,1222
28041,1222
28042,1222
28043,1222
28044,1222
28045,1222
28046,1222
28047,100352
28048,100352
28049,100352
28050,100352
28051,1223
28052,1223
28053,1223
28054,1231
28055,1227
28056,100305
28057,1228
28058,100352
28059,1228
28060,1228
28061,1228
28062,100617
28063,1230
28064,100617
28065,1224
28066,1224
28067,1224
28068,1224
28069,1224
28070,1224
28071,1224
28072,1224
28073,1225
28074,1225
28075,1225
28076,1225
28077,1225
28078,1225
28079,1225
28080,1225
28081,100349
28082,100349
28083,100349
28084,100349
28085,1225
28086,1225
28087,1225
28088,1225
28089,1225
28090,1225
28091,1225
28092,1225
28093,1225
28094,1225
28095,1225
28096,1225
28097,1229
28098,1229
28099,1229
28100,1229
28101,1224
28102,1224
28103,1224
28104,1224
28105,1224
28106,1224
28107,1224
28108,1224
28109,1224
28110,1224
28111,1224
28112,1224
28113,1224
28114,1224
28115,1224
28116,1224
28117,1225
28118,1225
28119,1225
28120,1225
28121,100352
28122,1223
28123,1223
28124,1223
28125,1223
28126,1223
28140,1854
28147,1344
28148,1344
28149,1344
28150,1344
28151,1344
28152,1344
28153,1344
28154,1344
28155,1344
28156,1344
28157,1344
28158,1344
28159,1344
28160,1344
28161,1344
28162,1344
28163,7
28164,7
28165,7
28174,1342
30004,2226
30014,2226
30024,2226
30034,2226
30044,2226
30054,2226
30064,2226
30074,2226
30084,2226
30094,2226
30104,2226
30114,2226
30124,2226
30134,2226
30144,2226
30154,2226
30164,2226
30174,2226
30184,2226
30194,2226
30204,2226
30214,2226
30224,2226
30234,2226
30244,2226
30254,2226
30264,2226
30274,2226
30284,2226
30294,2226
30304,2226
30503,200
30505,198
30513,200
30515,199
30523,200
30525,197
30533,200
30535,196
30602,1529
30603,165
30604,305
30605,782
30606,4917
30612,1529
30614,305
30615,782
30616,4917
30622,1529
30623,165
30624,305
30625,782
30626,4917
30632,1529
30633,165
30634,305
30635,782
30636,4917
30642,1529
30643,165
30644,305
30645,782
30646,4917
30652,1529
30653,165
30654,305
30655,782
30656,4917
30662,1529
30663,165
30664,305
30665,782
30666,4917
30672,1529
